PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,5/31/2025,06:15.1,1,1,"Horn, Tyner",10068252,Right,NEB,"Egrie, CJ",809041,Right,HOL_CRU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.55056,-2.370434,-0.870809,2336.717334,210.803277,1:00,5.80172,0.40627,5.27587,-16.69151,15.8445,8.85461,2.18289,0.32622,85.9393,-5.482737,0.700777,0.410538,,,,,,,,,,,,-4.66957,8.86209,-0.33357,50,5.57329,1.64494,-135.75401,-6.21235,-8.76212,28.18416,-15.54495,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,2e25e9e0-3e39-11f0-8e21-9f560cccee3c,91.81227,,,7.61126,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,06:15.1,2025-05-31T12:06:15.1004672-04:00,2025-05-31T16:06:15.1004672Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,ad2c5fec-fa69-421b-8a3e-07c6b73ad324,55.22196,-136.83386,14.09208,5.7999,-5.61676,-7.77248,-0.40302,1.98066,-4.38106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,5/31/2025,06:27.7,1,2,"Horn, Tyner",10068252,Right,NEB,"Egrie, CJ",809041,Right,HOL_CRU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.40701,-1.151661,-1.44422,2367.411355,204.033957,12:45,5.80809,0.21073,5.12677,-12.92934,20.41403,8.57437,3.64551,-0.43521,84.21906,-3.639476,0.072349,0.415601,,,,,,,,,,,,-4.68803,10.82473,-0.08201,50,5.69067,2.98604,-135.29273,-3.11284,-8.59128,32.62171,-12.33671,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,359a5490-3e39-11f0-8e21-9f560cccee3c,90.69389,,,9.18795,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,06:27.7,2025-05-31T12:06:27.7220864-04:00,2025-05-31T16:06:27.7220864Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,e9905976-385a-4a27-8de3-c5ce4d688f27,55.36741,-136.58078,16.31085,5.80396,-2.62573,-6.16836,-0.20661,3.32526,-4.29564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,5/31/2025,06:40.2,1,3,"Horn, Tyner",10068252,Right,NEB,"Egrie, CJ",809041,Right,HOL_CRU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,93.11592,-2.327149,-1.438261,2380.170817,200.592951,12:45,5.75199,0.45753,5.19598,-15.73544,17.36107,6.1252,2.24988,-0.38516,85.12457,-5.279183,-0.353202,0.414059,101.34522,22.981565,-14.421661,2456.099449,105.93025,42.59881,-29.6425,386.44968,375.53039,-18.285855,4.528667,-3.48788,9.65741,-0.32918,50,5.52484,3.10448,-135.03422,-6.0385,-6.44244,29.30056,-14.3359,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,3d252d70-3e39-11f0-8e21-9f560cccee3c,91.03153,60.42063,,7.99135,,,,2.88254,2.41732,0.34817,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,06:40.2,2025-05-31T12:06:40.1997824-04:00,2025-05-31T16:06:40.1997824Z,FlyBall,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,30619d9d-ba10-4799-b394-9e72e7377728,55.30248,-136.17993,14.65028,5.75,-5.47794,-7.16795,-0.45549,3.35638,-3.22122,151.542707,2.88557,132.45978,-25.47633,6.05363,-1.01447,0.06346,0.00826,-0.00096,-2.00E-05,2.41617,58.05601,-15.51881,0.23542,0.27008,-0.13819,0.04607,-0.00777,0.00049,0.34735,-34.06274,0.07747,1.68344,-0.81026,0.25563,-0.05416,0.00644,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
4,5/31/2025,07:36.5,2,1,"Horn, Tyner",10068252,Right,NEB,"Lafleur, John",10148726,Left,HOL_CRU,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.48747,0.797701,-1.100491,2760.786038,50.105137,7:45,5.7313,1.00831,4.56064,-50.7442,-7.02831,-9.83414,2.26198,-0.85866,75.77111,-8.245678,-2.824911,0.475873,,,,,,,,,,,,4.62595,-3.4741,-0.88413,50,5.76534,2.69273,-118.38534,-0.34555,6.63562,20.32401,-37.15741,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,5e922760-3e39-11f0-8e21-9f560cccee3c,79.20693,,,5.71637,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,07:36.5,2025-05-31T12:07:36.4952576-04:00,2025-05-31T16:07:36.4952576Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,cb5de2f3-a1cc-410c-942c-e47941e15b7b,55.94224,-119.40113,10.162,5.7362,1.51156,-18.5787,-1.01042,2.36108,3.31781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,5/31/2025,07:53.7,2,2,"Horn, Tyner",10068252,Right,NEB,"Lafleur, John",10148726,Left,HOL_CRU,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.80186,-1.485091,-2.579564,1617.197245,266.95383,3:00,5.66831,1.19658,5.19127,-34.8562,1.8978,16.74497,1.36489,0.16379,81.65066,-7.788648,0.389774,0.436339,,,,,,,,,,,,-9.03205,1.58784,-0.97055,50,5.50366,5.01012,-127.52926,-4.66008,-15.08326,22.78288,-29.5224,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,68ecc210-3e39-11f0-8e21-9f560cccee3c,86.38345,,,6.1512,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,07:53.7,2025-05-31T12:07:53.7212928-04:00,2025-05-31T16:07:53.7212928Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,a6df6d50-973e-4d1d-838c-9c14e2c77d12,55.30994,-128.47437,11.39144,5.67157,-3.43539,-14.7612,-1.19136,5.63583,-7.54163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,5/31/2025,08:10.0,2,3,"Horn, Tyner",10068252,Right,NEB,"Lafleur, John",10148726,Left,HOL_CRU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,92.63582,-2.582613,-1.958616,2337.220142,199.093875,12:45,5.87066,0.36519,5.41915,-13.1591,19.94544,6.54449,2.35185,-0.92481,84.8539,-5.086099,-0.795207,0.41411,59.59968,32.903846,39.153928,2618.870191,82.63555,38.32985,72.6041,181.28428,176.05807,42.736376,3.30522,-3.85717,11.09402,-0.1961,50,5.63247,4.29954,-134.361,-6.47566,-7.07121,28.3328,-11.8358,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,72917a40-3e39-11f0-8e21-9f560cccee3c,91.02046,39.04652,,7.78192,,,,2.13873,2.47372,0.91347,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,08:10.0,2025-05-31T12:08:09.9822592-04:00,2025-05-31T16:08:09.9822592Z,LineDrive,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,bd976510-e82b-401a-9779-2c6ffb35ee9b,55.07972,-135.42793,14.1664,5.86794,-6.02995,-5.9179,-0.36302,4.56582,-3.5356,198.687626,2.13887,56.90678,-10.38232,2.687,-0.55666,0.12243,-0.03616,0.00827,-0.00077,2.47391,47.47641,-16.18199,0.34759,0.32685,-0.27882,0.11573,-0.0235,0.00184,0.91354,46.33705,-5.57957,1.41809,-0.29171,0.06598,-0.02031,0.00469,-0.00044,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
7,5/31/2025,08:52.8,3,1,"Horn, Tyner",10068252,Right,NEB,"Baillargeon, Chris",809051,Right,HOL_CRU,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.31575,0.762338,-2.388617,2801.831199,38.032065,7:15,5.73074,1.06224,5.00301,-53.36145,-9.76615,-8.6454,2.00425,-1.91431,75.14445,-8.819005,-3.915312,0.475216,,,,,,,,,,,,3.64941,-4.68933,-0.82535,50,5.76026,5.28732,-118.01167,-0.45276,5.15689,22.03328,-38.80046,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,8c344860-3e39-11f0-8e21-9f560cccee3c,79.31641,,,6.1713,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,08:52.8,2025-05-31T12:08:52.8296448-04:00,2025-05-31T16:08:52.8296448Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,1fc7c39e-bd37-472f-9293-1d122c0e2dfc,55.49825,-119.03379,11.01664,5.73951,1.34719,-19.40023,-1.06508,5.04809,2.57844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,5/31/2025,09:04.5,3,2,"Horn, Tyner",10068252,Right,NEB,"Baillargeon, Chris",809051,Right,HOL_CRU,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.74275,-0.866226,-1.833081,2687.445693,90.646604,9:00,5.79871,0.89907,4.92276,-37.95703,1.21866,-7.08201,1.81624,-1.42464,79.29776,-7.704329,-3.082144,0.450484,,,,,,,,,,,,3.02662,1.18539,-0.71425,50,5.68262,4.30227,-124.43956,-3.38078,4.77837,23.36791,-30.30256,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,930a0210-3e39-11f0-8e21-9f560cccee3c,83.67093,,,6.44498,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,09:04.5,2025-05-31T12:09:04.4752896-04:00,2025-05-31T16:09:04.4752896Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,018ba632-3d09-4da4-9569-f21479bbb151,55.57572,-125.48223,11.68395,5.8033,-2.02869,-15.15128,-0.90146,4.08906,2.38918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,5/31/2025,09:18.3,3,3,"Horn, Tyner",10068252,Right,NEB,"Baillargeon, Chris",809051,Right,HOL_CRU,Undefined,1,Top,0,2,0,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,84.9204,-0.376791,-1.091486,2721.573783,82.990647,8:45,5.77938,1.06377,4.91503,-39.65297,0.24382,-7.40961,2.11864,-0.58584,78.52435,-7.523616,-2.398908,0.454611,67.35414,66.95636,1.84764,,,,,92.03539,46.4569,-1.186162,5.02837,3.4261,0.49185,-0.95062,50,5.70908,2.67181,-123.33253,-2.35058,5.31159,23.02855,-31.41153,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,9b56cb60-3e39-11f0-8e21-9f560cccee3c,82.91132,103.99535,,6.39605,,,,2.32945,2.14412,0.53814,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,09:18.3,2025-05-31T12:09:18.3286272-04:00,2025-05-31T16:09:18.3286272Z,Popup,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,bc93e41d-f5a7-47fc-bee5-aac17e9fd31f,55.58541,-124.37106,11.51428,5.78314,-0.934,-15.70577,-1.06571,2.43227,2.65579,177.747223,2.329,38.63899,-13.61039,4.2573,-0.7658,0.02973,0.02225,-0.00494,0.00033,2.12797,91.23133,-25.55746,4.45747,-2.0233,0.75252,-0.16908,0.01964,-0.00091,0.53716,1.26535,-1.46427,0.64219,-0.22039,0.06023,-0.01083,0.00106,-4.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,105.88089,16.49208748,-22.30691813
10,5/31/2025,09:54.3,4,1,"Horn, Tyner",10068252,Right,NEB,"Royer, Gianni",10102058,Right,HOL_CRU,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.43056,1.039745,-0.990684,2840.922356,51.27187,7:45,5.73353,1.03921,4.63147,-52.79074,-7.6289,-11.20646,2.3228,-0.83636,74.15442,-8.402146,-2.958386,0.483679,,,,,,,,,,,,5.22544,-3.63445,-0.92672,50,5.79119,2.50622,-116.71845,0.05327,7.22092,21.61166,-37.19642,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,b0d2ac20-3e39-11f0-8e21-9f560cccee3c,77.92863,,,6.27614,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,09:54.3,2025-05-31T12:09:54.2687744-04:00,2025-05-31T16:09:54.2687744Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,34c57d91-2d14-481f-9178-1dafe0ae4b9a,55.86925,-117.80019,10.80583,5.74193,1.91509,-18.59821,-1.04312,2.14479,3.61046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
