PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-03,16:42:51.17,1,1,"Katskee, Cooper",814215,Right,NEB,"Worthley, Jeter",10290580,Right,NEB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.71134,-3.154249,-2.42358,2287.992578,224.13254,1:30,6.61407,1.33813,5.95482,-20.66682,13.07776,11.70536,1.96091,0.06453,83.67027,-7.006898,-0.320576,0.418093,,,,,,,,,,,,-6.63878,7.84504,-1.15192,50.0,6.35119,5.07802,-131.61226,-7.92931,-11.72982,26.01614,-18.31293,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,f1517400-890e-11f0-a84e-8d3a62d886e2,90.15314,,,7.04107,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:42:51.17,2025-09-03T16:42:51.1746560-05:00,2025-09-03T21:42:51.1746560Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,c65ae7d2-3b7b-4910-b8f1-63f4ef5fbe9c,54.54751,-132.50813,13.00807,6.61338,-7.2987,-9.15647,-1.33373,5.48194,-5.86491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
69,2025-09-03,17:22:12.40,3,1,"Sebastian, Blake ",10129965,Right,NEB,"Moyer, Mac",1000303931,Left,NEB,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.72443,-2.426002,-2.641864,2203.73723,212.052286,1:00,6.07122,1.54182,6.79833,-17.57214,16.7145,9.79008,2.38896,-0.0553,81.33604,-5.801462,-0.856271,0.421438,,,,,,,,,,,,-5.93221,9.8678,-1.37389,50.0,5.90686,5.59145,-128.8865,-5.89624,-9.98793,26.55277,-15.55979,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,70ab6f80-8914-11f0-a84e-8d3a62d886e2,89.43766,,,7.38839,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:22:12.40,2025-09-03T17:22:12.4062720-05:00,2025-09-03T22:22:12.4062720Z,,v3,4865,4865,,"Peterson, Elliott",830325,Right,NEB,25a27302-2235-4b1a-8f6a-61ef984c6417,53.70379,-129.64729,13.27638,6.06941,-5.45041,-7.77989,-1.5382,5.87763,-4.99397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
68,2025-09-03,17:21:30.75,2,3,"Sebastian, Blake ",10129965,Right,NEB,"Worthley, Jalen",805000,Left,NEB,Undefined,3,Bottom,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,87.30754,-0.618269,-1.870808,2202.566519,212.043213,1:00,6.21452,1.23651,6.40849,-19.39643,16.62151,9.67351,4.02932,0.3218,79.57132,-4.329757,-0.118609,0.431947,89.62509,14.050598,32.842665,4504.137935,87.49678,21.6539,66.66569,237.01708,233.61785,42.759536,2.460686,-5.59697,9.20985,-1.10678,50.0,6.1612,3.77212,-126.86057,-1.88733,-9.08895,26.80711,-17.21811,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,57e1ea60-8914-11f0-a84e-8d3a62d886e2,87.26165,21.96815,,7.73623,,,,1.12624,4.05129,-0.359,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:21:30.75,2025-09-03T17:21:30.7577856-05:00,2025-09-03T22:21:30.7577856Z,LineDrive,v3,4865,4865,,"Peterson, Elliott",830325,Right,NEB,269666ea-f082-4efa-991f-014b372b2f2f,54.09258,-127.72245,13.40355,6.21298,-1.33375,-8.60906,-1.23275,4.06434,-4.54447,239.893957,1.12624,107.13505,-24.74491,6.28387,-1.41537,0.27473,-0.0446,0.00519,-0.00027,4.05129,31.91345,-14.36199,-0.14086,0.34852,-0.1203,0.028,-0.00343,0.00016,-0.359,69.15705,-0.28021,-1.24601,0.56631,-0.17081,0.03834,-0.00546,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
67,2025-09-03,17:21:15.05,2,2,"Sebastian, Blake ",10129965,Right,NEB,"Worthley, Jalen",805000,Left,NEB,Undefined,3,Bottom,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.90833,-1.984822,-2.517168,2216.136874,209.215184,1:00,5.96103,1.48985,6.61401,-15.66182,19.65131,10.33945,2.83545,0.04445,80.13664,-5.02324,-0.638167,0.4277,71.7566,44.800317,98.070656,5287.102227,,,,,75.26715,,,-6.18071,11.27284,-1.32256,50.0,5.81908,5.22541,-127.65752,-4.79172,-10.16024,27.21897,-13.64304,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,4e7ea800-8914-11f0-a84e-8d3a62d886e2,88.12817,61.91938,,7.77168,,,,1.43055,2.45245,-0.25485,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:21:15.05,2025-09-03T17:21:15.0580736-05:00,2025-09-03T22:21:15.0580736Z,,v3,4865,4865,,"Peterson, Elliott",830325,Right,NEB,cead101c-5f3d-47ce-bc58-48735cb6cf5c,53.8874,-128.48371,13.60949,5.95824,-4.37761,-6.82152,-1.48585,5.53381,-5.08012,312.098917,1.43056,-10.48566,-8.25488,2.78887,-0.84059,0.87229,-1.01999,0.58615,-0.12936,2.45245,74.15859,-22.32764,2.03955,-0.3301,-0.11166,0.24028,-0.1505,0.03436,-0.25484,73.93671,-13.31448,2.83396,-0.61476,0.41415,-0.43438,0.2406,-0.05207,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
66,2025-09-03,17:21:04.77,2,1,"Sebastian, Blake ",10129965,Right,NEB,"Worthley, Jalen",805000,Left,NEB,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.42579,-2.242709,-2.298836,2165.994285,210.047666,1:00,6.11601,1.11267,6.80383,-16.03572,19.30391,10.51205,2.73029,-0.1104,79.97158,-5.35138,-0.380878,0.427861,,,,,,,,,,,,-6.18552,11.18623,-0.96714,50.0,5.96414,4.71138,-127.00881,-5.33154,-10.09991,26.10553,-13.90886,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,485c38c0-8914-11f0-a84e-8d3a62d886e2,88.09513,,,7.45421,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:21:04.77,2025-09-03T17:21:04.7740416-05:00,2025-09-03T22:21:04.7740416Z,,v3,4865,4865,,"Peterson, Elliott",830325,Right,NEB,4ddfee74-0f23-422e-a69d-3cbab87c1105,53.69679,-127.76639,13.05277,6.11301,-4.9279,-6.95443,-1.10812,5.00448,-5.04995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,2025-09-03,17:20:26.28,1,1,"Sebastian, Blake ",10129965,Right,NEB,"Grace, Cooper ",10118659,Right,NEB,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,0,,88.83073,-2.740467,-2.698183,2284.245416,207.42643,1:00,6.0305,1.42688,6.79984,-17.35119,17.29808,8.34016,2.07871,-0.34251,80.47826,-6.099794,-1.177183,0.423661,101.00297,20.998186,20.521262,4652.819189,99.8455,39.69118,46.16003,352.03836,320.07776,33.875111,3.958639,-5.26335,10.38548,-1.25476,50.0,5.84588,5.76149,-128.8486,-6.5828,-8.7411,29.80075,-14.92637,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,315b65b0-8914-11f0-a84e-8d3a62d886e2,88.96843,52.58096,,8.35247,,,,0.65552,2.07741,0.36207,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:20:26.28,2025-09-03T17:20:26.2806016-05:00,2025-09-03T22:20:26.2806016Z,LineDrive,v3,4865,4865,,"Peterson, Elliott",830325,Right,NEB,a732f41d-afa6-4284-9684-0453f96c40ad,53.70024,-129.70159,14.90037,6.02819,-6.15556,-7.46319,-1.42325,6.01168,-4.37055,217.779285,0.65511,129.53473,-31.87775,9.02531,-2.23236,0.50923,-0.09508,0.01146,-0.00061,2.07774,53.07649,-12.7299,-1.82256,1.06737,-0.33448,0.06459,-0.00656,0.00024,0.36205,48.48211,0.78021,-0.30806,0.0905,-0.02112,0.00363,-0.0004,2e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
64,2025-09-03,17:18:25.29,5,4,"Olson, Chase",830155,Left,NEB,"Kelley, Carter",831357,Right,NEB,Undefined,3,Top,0,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.66299,-0.432855,3.933898,2245.041281,119.428668,10:00,5.59976,-2.7496,6.07602,-22.39171,11.81414,-18.80099,3.33231,-0.67052,81.86409,-4.666582,0.556799,0.420941,,,,,,,,,,,,10.85103,6.56902,2.45433,50.0,5.55436,-8.22364,-131.34721,-1.70216,18.74559,30.70652,-20.82581,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,e9523c30-8913-11f0-a84e-8d3a62d886e2,89.54322,,,8.7989,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:18:25.29,2025-09-03T17:18:25.2908032-05:00,2025-09-03T22:18:25.2908032Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,cee0c29d-eefb-4f2b-bdbf-8a39ba9c30ab,54.42419,-132.37746,15.35326,5.59975,-1.00342,-10.41291,2.7408,-8.85258,9.3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
63,2025-09-03,17:17:58.90,5,3,"Olson, Chase",830155,Left,NEB,"Kelley, Carter",831357,Right,NEB,Undefined,3,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04613,0.585326,3.938388,2364.891342,112.6032,9:45,5.54116,-2.59023,6.11906,-24.04497,9.72823,-20.58218,4.07989,-0.65838,82.33478,-3.945142,0.238769,0.418271,,,,,,,,,,,,11.68717,5.18906,2.29786,50.0,5.57369,-8.18613,-131.94236,0.5706,20.43396,30.21609,-23.10148,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,d992b5e0-8913-11f0-a84e-8d3a62d886e2,90.11495,,,8.71135,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:17:58.90,2025-09-03T17:17:58.9006848-05:00,2025-09-03T22:17:58.9006848Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,5b62bd8a-8c26-40c2-a7b9-5bc5c81d4b7c,54.38112,-132.94189,15.10805,5.54218,1.33479,-11.55074,2.57984,-8.86207,10.21698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
62,2025-09-03,17:17:30.56,5,2,"Olson, Chase",830155,Left,NEB,"Kelley, Carter",831357,Right,NEB,Undefined,3,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.63453,0.061196,3.496672,2098.708555,114.133421,9:45,5.59885,-2.72277,6.09453,-26.45647,7.7791,-15.17576,3.45086,-0.749,82.63926,-4.862542,0.768141,0.421124,73.91073,25.625434,163.818262,2372.452771,,,,,54.08215,,,8.5802,4.33607,2.4601,50.0,5.58973,-7.30387,-130.16889,-0.74528,14.88288,24.51728,-24.65284,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,c8997710-8913-11f0-a84e-8d3a62d886e2,89.50432,22.86025,,6.99527,,,,1.54863,3.38982,0.71759,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:17:30.56,2025-09-03T17:17:30.5672192-05:00,2025-09-03T22:17:30.5672192Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,1280f098-62fc-409e-a7f0-aa2b040cf640,54.40665,-130.99625,12.25864,5.60084,0.08666,-12.32642,2.71505,-7.80612,7.44144,355.466332,1.54863,-93.86765,6.79084,-0.45885,0.08502,0.00209,-0.00141,0.00097,-0.00045,3.38982,46.88245,-24.97649,2.63226,-0.54476,0.11277,-0.02036,0.00453,-0.00073,0.71759,27.23863,-2.40636,0.31214,-0.06339,0.00912,-0.00181,0.00041,-6e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
61,2025-09-03,17:17:10.67,5,1,"Olson, Chase",830155,Left,NEB,"Kelley, Carter",831357,Right,NEB,Undefined,3,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.4474,-0.410557,4.272159,2160.975601,112.799189,9:45,5.48748,-2.71992,6.12398,-27.35175,8.06768,-16.57934,2.82756,-0.14468,81.03516,-5.512355,1.292989,0.428344,,,,,,,,,,,,9.68146,4.61831,2.40065,50.0,5.44172,-8.90424,-128.27378,-1.8096,16.18213,25.74358,-24.45475,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,bcd64bb0-8913-11f0-a84e-8d3a62d886e2,87.99581,,,7.41223,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,22:17:10.67,2025-09-03T17:17:10.6718720-05:00,2025-09-03T22:17:10.6718720Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,5d7285c0-4952-4ecf-8520-7f0aa50334ee,54.37825,-129.14947,12.87179,5.48913,-0.97774,-12.22738,2.71289,-9.45469,8.09106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
