GameUID,PositionAt110X,HitTrajectoryXc8,ThrowPositionZ,PitcherTeam,CatcherThrowLocationConfidence,PAofInning,PitchTrajectoryXc1,MeasuredDuration,PitchTrajectoryYc0,HitTrajectoryZc0,HitTrajectoryXc5,RunsScored,PitchReleaseConfidence,ThrowTrajectoryYc2,TaggedPitchType,HitTrajectoryYc0,ExchangeTime,ThrowTrajectoryYc1,Stadium,PitchLocationConfidence,RelSide,Balls,Extension,ContactPositionZ,ThrowTrajectoryXc0,vy0,PitchTrajectoryZc0,ThrowTrajectoryXc2,HitTrajectoryZc6,ZoneSpeed,ThrowSpeed,Strikes,VertBreak,AutoHitType,HitTrajectoryZc3,HitTrajectoryYc6,SpinAxis,AutoPitchType,CatchPositionY,HitTrajectoryZc5,PitchUID,PitcherId,ThrowPositionX,HorzApprAngle,BatterSide,League,Inning,PitchMovementConfidence,PitcherThrows,Time,InducedVertBreak,ThrowTrajectoryXc1,ThrowTrajectoryYc0,ContactPositionY,CatcherTeam,PlateLocSide,HitTrajectoryZc8,HitTrajectoryZc4,PitchLastMeasuredX,Bearing,PitchCall,PitchNo,y0,BatterId,HomeTeam,CatcherThrows,ThrowTrajectoryZc0,PopTime,HitTrajectoryYc2,HitTrajectoryYc5,PlayID,PitcherSet,CatchPositionZ,PitchofPA,HitTrajectoryXc7,HitTrajectoryYc3,ZoneTime,LocalDateTime,HitLandingConfidence,HorzRelAngle,HitTrajectoryYc4,Level,AwayTeam,MaxHeight,HitSpinAxis,HitTrajectoryZc1,PitchTrajectoryXc0,Notes,HitLaunchConfidence,GameID,HitTrajectoryXc4,Pitcher,ThrowPositionY,HitTrajectoryXc6,KorBB,GameForeignID,ThrowTrajectoryZc1,PitchLastMeasuredY,TimeToBase,pfxx,z0,LastTrackedDistance,AwayTeamForeignID,CatcherId,CatcherThrowReleaseConfidence,PitchTrajectoryZc2,HitTrajectoryZc2,VertApprAngle,HitTrajectoryYc8,UTCTime,HitTrajectoryYc1,PlateLocHeight,OutsOnPlay,HomeTeamForeignID,ExitSpeed,ContactPositionX,HitTrajectoryXc3,Direction,CatchPositionX,CatcherThrowCatchConfidence,EffectiveVelo,SpeedDrop,Tilt,Date,PitchTrajectoryYc1,RelHeight,UTCDate,PitchTrajectoryXc2,RelSpeed,HitTrajectoryXc2,BasePositionY,TaggedHitType,Outs,ay0,vz0,BatterTeam,BasePositionX,HitTrajectoryXc1,pfxz,Distance,VertRelAngle,BasePositionZ,PositionAt110Z,PositionAt110Y,HitTrajectoryZc7,Batter,ax0,HorzBreak,PitchTrajectoryZc1,x0,Angle,PitchTrajectoryYc2,ThrowTrajectoryZc2,HitTrajectoryXc0,PitchLastMeasuredZ,az0,System,Catcher,Top/Bottom,PlayResult,SpinRate,HitSpinRate,vx0,UTCDateTime,HangTime,HitTrajectoryYc7
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,1,-132.50813,,6.61338,,,0,High,,Fastball,,,,UNebraska,High,1.33813,0,5.95482,,,-131.61226,-1.33373,,,83.67027,,0,-20.66682,,,,224.13254,Four-Seam,,,f1517400-890e-11f0-a84e-8d3a62d886e2,814215,,-0.320576,Right,Team,1,High,Right,16:42:51.17,13.07776,,,,NEB,0.06453,,,,,StrikeCalled,1,50.0,10290580,NEB,Right,,,,,c65ae7d2-3b7b-4910-b8f1-63f4ef5fbe9c,Undefined,,1,,,0.418093,2025-09-03T16:42:51.1746560-05:00,,-2.42358,,TeamExclusive,NEB,,,,54.54751,,,20250903-UNebraska-Private-2,,"Katskee, Cooper",,,Undefined,,,,,-6.63878,6.35119,,4865,10277361,,-5.86491,,-7.006898,,21:42:51.17,,1.96091,0,4865,,,,,,,90.15314,7.04107,1:30,2025-09-03,-7.2987,6.61407,2025-09-03,13.00807,90.71134,,,Undefined,0,26.01614,-7.92931,NEB,,,7.84504,,-3.154249,,,,,"Worthley, Jeter",-11.72982,11.70536,5.48194,-1.15192,,-9.15647,,,,-18.31293,v3,"Fikes, Trey",Top,Undefined,2287.992578,,5.07802,2025-09-03T21:42:51.1746560Z,,
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,3,-129.64729,,6.06941,,,0,High,,Fastball,,,,UNebraska,High,1.54182,0,6.79833,,,-128.8865,-1.5382,,,81.33604,,0,-17.57214,,,,212.052286,Four-Seam,,,70ab6f80-8914-11f0-a84e-8d3a62d886e2,10129965,,-0.856271,Left,Team,3,High,Right,17:22:12.40,16.7145,,,,NEB,-0.0553,,,,,FoulBallNotFieldable,69,50.0,1000303931,NEB,Right,,,,,25a27302-2235-4b1a-8f6a-61ef984c6417,Undefined,,1,,,0.421438,2025-09-03T17:22:12.4062720-05:00,,-2.641864,,TeamExclusive,NEB,,,,53.70379,,,20250903-UNebraska-Private-2,,"Sebastian, Blake",,,Undefined,,,,,-5.93221,5.90686,,4865,830325,,-4.99397,,-5.801462,,22:22:12.40,,2.38896,0,4865,,,,,,,89.43766,7.38839,1:00,2025-09-03,-5.45041,6.07122,2025-09-03,13.27638,88.72443,,,Undefined,0,26.55277,-5.89624,NEB,,,9.8678,,-2.426002,,,,,"Moyer, Mac",-9.98793,9.79008,5.87763,-1.37389,,-7.77989,,,,-15.55979,v3,"Peterson, Elliott",Bottom,Undefined,2203.73723,,5.59145,2025-09-03T22:22:12.4062720Z,,
ae614e11-b1b9-4508-b311-468f30c2a3a8,87.49678,-0.00027,,NEB,,2,-127.72245,,6.21298,-0.359,0.27473,0,High,,Fastball,4.05129,,,UNebraska,High,1.23651,0,6.40849,-0.359,,-126.86057,-1.23275,,0.03834,79.57132,,2,-19.39643,LineDrive,-1.24601,0.028,212.043213,Four-Seam,,-0.17081,57e1ea60-8914-11f0-a84e-8d3a62d886e2,10129965,,-0.118609,Left,Team,3,High,Right,17:21:30.75,16.62151,,,4.05129,NEB,0.3218,0.00036,0.56631,,42.759536,InPlay,68,50.0,805000,NEB,Right,,,-14.36199,-0.1203,269666ea-f082-4efa-991f-014b372b2f2f,Undefined,,3,0.00519,-0.14086,0.431947,2025-09-03T17:21:30.7577856-05:00,High,-1.870808,0.34852,TeamExclusive,NEB,21.96815,239.893957,69.15705,54.09258,,High,20250903-UNebraska-Private-2,-1.41537,"Sebastian, Blake",,-0.0446,Undefined,,,,,-5.59697,6.1612,233.61785,4865,830325,,-4.54447,-0.28021,-4.329757,0.00016,22:21:30.75,31.91345,4.02932,0,4865,89.62509,1.12624,6.28387,32.842665,,,87.26165,7.73623,1:00,2025-09-03,-1.33375,6.21452,2025-09-03,13.40355,87.30754,-24.74491,,LineDrive,0,26.80711,-1.88733,NEB,,107.13505,9.20985,237.01708,-0.618269,,66.66569,21.6539,-0.00546,"Worthley, Jalen",-9.08895,9.67351,4.06434,-1.10678,14.050598,-8.60906,,1.12624,,-17.21811,v3,"Peterson, Elliott",Bottom,Double,2202.566519,4504.137935,3.77212,2025-09-03T22:21:30.7577856Z,2.460686,-0.00343
ae614e11-b1b9-4508-b311-468f30c2a3a8,,-0.12936,,NEB,,2,-128.48371,,5.95824,-0.25484,0.87229,0,High,,Fastball,2.45245,,,UNebraska,High,1.48985,0,6.61401,-0.25485,,-127.65752,-1.48585,,-0.43438,80.13664,,1,-15.66182,,2.83396,0.24028,209.215184,Four-Seam,,0.41415,4e7ea800-8914-11f0-a84e-8d3a62d886e2,10129965,,-0.638167,Left,Team,3,High,Right,17:21:15.05,19.65131,,,2.45245,NEB,0.04445,-0.05207,-0.61476,,,FoulBallNotFieldable,67,50.0,805000,NEB,Right,,,-22.32764,-0.11166,cead101c-5f3d-47ce-bc58-48735cb6cf5c,Undefined,,2,0.58615,2.03955,0.4277,2025-09-03T17:21:15.0580736-05:00,Undefined,-2.517168,-0.3301,TeamExclusive,NEB,61.91938,312.098917,73.93671,53.8874,,High,20250903-UNebraska-Private-2,-0.84059,"Sebastian, Blake",,-1.01999,Undefined,,,,,-6.18071,5.81908,75.26715,4865,830325,,-5.08012,-13.31448,-5.02324,0.03436,22:21:15.05,74.15859,2.83545,0,4865,71.7566,1.43055,2.78887,98.070656,,,88.12817,7.77168,1:00,2025-09-03,-4.37761,5.96103,2025-09-03,13.60949,87.90833,-8.25488,,Undefined,0,27.21897,-4.79172,NEB,,-10.48566,11.27284,,-1.984822,,,,0.2406,"Worthley, Jalen",-10.16024,10.33945,5.53381,-1.32256,44.800317,-6.82152,,1.43056,,-13.64304,v3,"Peterson, Elliott",Bottom,Undefined,2216.136874,5287.102227,5.22541,2025-09-03T22:21:15.0580736Z,,-0.1505
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,2,-127.76639,,6.11301,,,0,High,,Fastball,,,,UNebraska,High,1.11267,0,6.80383,,,-127.00881,-1.10812,,,79.97158,,0,-16.03572,,,,210.047666,Four-Seam,,,485c38c0-8914-11f0-a84e-8d3a62d886e2,10129965,,-0.380878,Left,Team,3,High,Right,17:21:04.77,19.30391,,,,NEB,-0.1104,,,,,StrikeCalled,66,50.0,805000,NEB,Right,,,,,4ddfee74-0f23-422e-a69d-3cbab87c1105,Undefined,,1,,,0.427861,2025-09-03T17:21:04.7740416-05:00,,-2.298836,,TeamExclusive,NEB,,,,53.69679,,,20250903-UNebraska-Private-2,,"Sebastian, Blake",,,Undefined,,,,,-6.18552,5.96414,,4865,830325,,-5.04995,,-5.35138,,22:21:04.77,,2.73029,0,4865,,,,,,,88.09513,7.45421,1:00,2025-09-03,-4.9279,6.11601,2025-09-03,13.05277,87.42579,,,Undefined,0,26.10553,-5.33154,NEB,,,11.18623,,-2.242709,,,,,"Worthley, Jalen",-10.09991,10.51205,5.00448,-0.96714,,-6.95443,,,,-13.90886,v3,"Peterson, Elliott",Bottom,Undefined,2165.994285,,4.71138,2025-09-03T22:21:04.7740416Z,,
ae614e11-b1b9-4508-b311-468f30c2a3a8,99.8455,-0.00061,,NEB,,1,-129.70159,,6.02819,0.36205,0.50923,0,High,,Fastball,2.07774,,,UNebraska,High,1.42688,0,6.79984,0.36207,,-128.8486,-1.42325,,0.00363,80.47826,,0,-17.35119,LineDrive,-0.30806,0.06459,207.42643,Four-Seam,,-0.02112,315b65b0-8914-11f0-a84e-8d3a62d886e2,10129965,,-1.177183,Right,Team,3,High,Right,17:20:26.28,17.29808,,,2.07741,NEB,-0.34251,2E-05,0.0905,,33.875111,InPlay,65,50.0,10118659,NEB,Right,,,-12.7299,-0.33448,a732f41d-afa6-4284-9684-0453f96c40ad,Undefined,,1,0.01146,-1.82256,0.423661,2025-09-03T17:20:26.2806016-05:00,Medium,-2.698183,1.06737,TeamExclusive,NEB,52.58096,217.779285,48.48211,53.70024,,High,20250903-UNebraska-Private-2,-2.23236,"Sebastian, Blake",,-0.09508,Undefined,,,,,-5.26335,5.84588,320.07776,4865,830325,,-4.37055,0.78021,-6.099794,0.00024,22:20:26.28,53.07649,2.07871,0,4865,101.00297,0.65552,9.02531,20.521262,,,88.96843,8.35247,1:00,2025-09-03,-6.15556,6.0305,2025-09-03,14.90037,88.83073,-31.87775,,LineDrive,0,29.80075,-6.5828,NEB,,129.53473,10.38548,352.03836,-2.740467,,46.16003,39.69118,-0.0004,"Grace, Cooper",-8.7411,8.34016,6.01168,-1.25476,20.998186,-7.46319,,0.65511,,-14.92637,v3,"Peterson, Elliott",Bottom,HomeRun,2284.245416,4652.819189,5.76149,2025-09-03T22:20:26.2806016Z,3.958639,-0.00656
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,5,-132.37746,,5.59975,,,0,High,,Fastball,,,,UNebraska,High,-2.7496,1,6.07602,,,-131.34721,2.7408,,,81.86409,,2,-22.39171,,,,119.428668,Sinker,,,e9523c30-8913-11f0-a84e-8d3a62d886e2,830155,,0.556799,Right,Team,3,High,Left,17:18:25.29,11.81414,,,,NEB,-0.67052,,,,,StrikeSwinging,64,50.0,831357,NEB,Right,,,,,cee0c29d-eefb-4f2b-bdbf-8a39ba9c30ab,Undefined,,4,,,0.420941,2025-09-03T17:18:25.2908032-05:00,,3.933898,,TeamExclusive,NEB,,,,54.42419,,,20250903-UNebraska-Private-2,,"Olson, Chase",,,Strikeout,,,,,10.85103,5.55436,,4865,10277361,,9.3728,,-4.666582,,22:18:25.29,,3.33231,0,4865,,,,,,,89.54322,8.7989,10:00,2025-09-03,-1.00342,5.59976,2025-09-03,15.35326,90.66299,,,Undefined,0,30.70652,-1.70216,NEB,,,6.56902,,-0.432855,,,,,"Kelley, Carter",18.74559,-18.80099,-8.85258,2.45433,,-10.41291,,,,-20.82581,v3,"Fikes, Trey",Top,Undefined,2245.041281,,-8.22364,2025-09-03T22:18:25.2908032Z,,
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,5,-132.94189,,5.54218,,,0,High,,Fastball,,,,UNebraska,High,-2.59023,0,6.11906,,,-131.94236,2.57984,,,82.33478,,2,-24.04497,,,,112.6032,Sinker,,,d992b5e0-8913-11f0-a84e-8d3a62d886e2,830155,,0.238769,Right,Team,3,High,Left,17:17:58.90,9.72823,,,,NEB,-0.65838,,,,,BallCalled,63,50.0,831357,NEB,Right,,,,,5b62bd8a-8c26-40c2-a7b9-5bc5c81d4b7c,Undefined,,3,,,0.418271,2025-09-03T17:17:58.9006848-05:00,,3.938388,,TeamExclusive,NEB,,,,54.38112,,,20250903-UNebraska-Private-2,,"Olson, Chase",,,Undefined,,,,,11.68717,5.57369,,4865,10277361,,10.21698,,-3.945142,,22:17:58.90,,4.07989,0,4865,,,,,,,90.11495,8.71135,9:45,2025-09-03,1.33479,5.54116,2025-09-03,15.10805,91.04613,,,Undefined,0,30.21609,0.5706,NEB,,,5.18906,,0.585326,,,,,"Kelley, Carter",20.43396,-20.58218,-8.86207,2.29786,,-11.55074,,,,-23.10148,v3,"Fikes, Trey",Top,Undefined,2364.891342,,-8.18613,2025-09-03T22:17:58.9006848Z,,
ae614e11-b1b9-4508-b311-468f30c2a3a8,,-0.00045,,NEB,,5,-130.99625,,5.60084,0.71759,0.00209,0,High,,Fastball,3.38982,,,UNebraska,High,-2.72277,0,6.09453,0.71759,,-130.16889,2.71505,,-0.00181,82.63926,,1,-26.45647,,0.31214,-0.02036,114.133421,Sinker,,0.00912,c8997710-8913-11f0-a84e-8d3a62d886e2,830155,,0.768141,Right,Team,3,High,Left,17:17:30.56,7.7791,,,3.38982,NEB,-0.749,-6E-05,-0.06339,,,StrikeSwinging,62,50.0,831357,NEB,Right,,,-24.97649,0.11277,1280f098-62fc-409e-a7f0-aa2b040cf640,Undefined,,2,0.00097,2.63226,0.421124,2025-09-03T17:17:30.5672192-05:00,Undefined,3.496672,-0.54476,TeamExclusive,NEB,22.86025,355.466332,27.23863,54.40665,,High,20250903-UNebraska-Private-2,0.08502,"Olson, Chase",,-0.00141,Undefined,,,,,8.5802,5.58973,54.08215,4865,10277361,,7.44144,-2.40636,-4.862542,-0.00073,22:17:30.56,46.88245,3.45086,0,4865,73.91073,1.54863,-0.45885,163.818262,,,89.50432,6.99527,9:45,2025-09-03,0.08666,5.59885,2025-09-03,12.25864,89.63453,6.79084,,Undefined,0,24.51728,-0.74528,NEB,,-93.86765,4.33607,,0.061196,,,,0.00041,"Kelley, Carter",14.88288,-15.17576,-7.80612,2.4601,25.625434,-12.32642,,1.54863,,-24.65284,v3,"Fikes, Trey",Top,Undefined,2098.708555,2372.452771,-7.30387,2025-09-03T22:17:30.5672192Z,,0.00453
ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,NEB,,5,-129.14947,,5.48913,,,0,High,,Fastball,,,,UNebraska,High,-2.71992,0,6.12398,,,-128.27378,2.71289,,,81.03516,,0,-27.35175,,,,112.799189,Sinker,,,bcd64bb0-8913-11f0-a84e-8d3a62d886e2,830155,,1.292989,Right,Team,3,High,Left,17:17:10.67,8.06768,,,,NEB,-0.14468,,,,,StrikeCalled,61,50.0,831357,NEB,Right,,,,,5d7285c0-4952-4ecf-8520-7f0aa50334ee,Undefined,,1,,,0.428344,2025-09-03T17:17:10.6718720-05:00,,4.272159,,TeamExclusive,NEB,,,,54.37825,,,20250903-UNebraska-Private-2,,"Olson, Chase",,,Undefined,,,,,9.68146,5.44172,,4865,10277361,,8.09106,,-5.512355,,22:17:10.67,,2.82756,0,4865,,,,,,,87.99581,7.41223,9:45,2025-09-03,-0.97774,5.48748,2025-09-03,12.87179,88.4474,,,Undefined,0,25.74358,-1.8096,NEB,,,4.61831,,-0.410557,,,,,"Kelley, Carter",16.18213,-16.57934,-9.45469,2.40065,,-12.22738,,,,-24.45475,v3,"Fikes, Trey",Top,Undefined,2160.975601,,-8.90424,2025-09-03T22:17:10.6718720Z,,
