Angle,AutoHitType,AutoPitchType,AwayTeam,AwayTeamForeignID,Balls,BasePositionX,BasePositionY,BasePositionZ,Batter,BatterId,BatterSide,BatterTeam,Bearing,CatchPositionX,CatchPositionY,CatchPositionZ,Catcher,CatcherId,CatcherTeam,CatcherThrowCatchConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,CatcherThrows,ContactPositionX,ContactPositionY,ContactPositionZ,Date,Direction,Distance,EffectiveVelo,ExchangeTime,ExitSpeed,Extension,GameForeignID,GameID,GameUID,HangTime,HitLandingConfidence,HitLaunchConfidence,HitSpinAxis,HitSpinRate,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,HomeTeam,HomeTeamForeignID,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,KorBB,LastTrackedDistance,League,Level,LocalDateTime,MaxHeight,MeasuredDuration,Notes,Outs,OutsOnPlay,PAofInning,PitchCall,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchLocationConfidence,PitchMovementConfidence,PitchNo,PitchReleaseConfidence,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,PitchUID,Pitcher,PitcherId,PitcherSet,PitcherTeam,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayID,PlayResult,PopTime,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpeedDrop,SpinAxis,SpinRate,Stadium,Strikes,System,TaggedHitType,TaggedPitchType,ThrowPositionX,ThrowPositionY,ThrowPositionZ,ThrowSpeed,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Tilt,Time,TimeToBase,Top/Bottom,UTCDate,UTCDateTime,UTCTime,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0
,,Sinker,NEB,4865,0,,,,"Newhan, Nico",814552,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,90.43998,,,5.58136,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-2.072301,-18.42387,1.215133,15.23383,2,Undefined,,Team,TeamExclusive,2025-09-03T16:59:51.5432960-05:00,,,,0,0,1,BallCalled,,,,High,High,28,High,54.91951,-134.45125,14.59271,6.21166,-1.35812,-8.72462,1.8138,-2.61724,8.64429,51ab5e40-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,1,4.12973,-2.22203,43f3d084-d4be-420c-9072-a79d9b2a695c,Undefined,,,,,6.21324,-1.82176,91.86981,0,8.11301,127.540925,2516.279992,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,16:59:51.54,,Bottom,2025-09-03,2025-09-03T21:59:51.5432960Z,21:59:51.54,-4.042678,-18.29702,-0.598118,83.7568,0.416767,17.28858,29.18542,-17.44923,9.61504,8.18922,-1.98212,-133.37909,-1.99914,1.72932,50.0,6.14999
,,Four-Seam,NEB,4865,0,,,,"Newhan, Nico",814552,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,90.02247,,,5.76426,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,0.580791,-10.69682,2.493543,19.75966,2,Undefined,,Team,TeamExclusive,2025-09-03T17:00:05.9663360-05:00,,,,0,0,1,BallCalled,,,,High,High,29,High,54.73381,-133.72341,15.25877,6.19914,-2.30469,-6.65907,1.79519,-5.67337,5.42522,5a1636e0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,2,4.06602,-0.3698,61bd775c-f64c-4ee9-9b21-4ace05af33ea,Undefined,,,,,6.20307,-1.80074,91.50253,0,8.72062,150.08395,2571.805955,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,11:00,17:00:05.96,,Bottom,2025-09-03,2025-09-03T22:00:05.9663360Z,22:00:05.96,-3.753797,-14.08292,-1.034055,82.78191,0.4187,10.85045,30.51755,-13.31815,6.14048,10.67091,-5.2877,-132.63869,-2.77807,1.60039,50.0,6.10881
,,Four-Seam,NEB,4865,0,,,,"Newhan, Nico",814552,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,88.98924,,,5.62174,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,0.100063,-14.37694,2.664961,19.0541,2,Undefined,,Team,TeamExclusive,2025-09-03T17:00:21.7719296-05:00,,,,0,0,1,BallCalled,,,,High,High,30,High,54.87997,-131.78977,13.16183,6.25344,-8.05733,-6.58144,1.77858,-5.97011,6.94722,638252e0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,3,1.65861,-0.49361,bf0ec1ae-2658-4b4e-8bc6-99126c03b0b4,Undefined,,,,,6.25638,-1.78438,90.28077,0,7.3837,141.330872,2520.042578,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:45,17:00:21.77,,Bottom,2025-09-03,2025-09-03T22:00:21.7719296Z,22:00:21.77,-6.467522,-15.57895,-3.527256,82.89707,0.423562,13.89444,26.32365,-13.16287,7.97957,10.91812,-5.45371,-130.81142,-8.54654,1.56629,50.0,5.94489
,,Sinker,NEB,4865,0,,,,"Newhan, Nico",814552,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,90.39632,,,5.5695,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-2.001883,-18.78702,1.349731,15.70056,2,Undefined,,Team,TeamExclusive,2025-09-03T17:00:38.0758016-05:00,,,,0,0,1,BallCalled,,,,High,High,31,High,54.93011,-134.93181,15.83238,6.12623,-2.4162,-8.38799,1.78124,-2.92392,8.83218,6d382210-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,4,3.65966,-2.09434,298afe3f-8840-4c4c-81fd-d3b83ecde043,Undefined,,,,,6.12816,-1.78985,92.24053,0,8.80314,127.723268,2548.01026,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,17:00:38.07,,Bottom,2025-09-03,2025-09-03T22:00:38.0758016Z,22:00:38.07,-4.428935,-17.86273,-1.048608,83.43739,0.416969,17.66435,31.66476,-16.77598,9.8513,8.58741,-2.27572,-133.76984,-3.03181,1.68584,50.0,6.02627
,,Four-Seam,NEB,4865,0,,,,"Freeman, Preston",1000220671,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,88.71317,,,5.81298,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,1.496927,-10.30985,3.340202,20.38497,2,Undefined,,Team,TeamExclusive,2025-09-03T17:01:10.6733056-05:00,,,,0,0,1,BallCalled,,,,High,High,32,High,54.6878,-131.11682,13.52739,6.20606,-7.44403,-6.09237,1.82404,-7.53101,5.29615,80a8c980-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,5,1.94171,0.42188,7bc51cc3-0e31-4c06-b1e5-37e11042aa65,Undefined,,,,,6.2096,-1.82856,89.87288,0,7.69578,151.826508,2460.365517,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,11:00,17:01:10.67,,Bottom,2025-09-03,2025-09-03T22:01:10.6733056Z,22:01:10.67,-6.047628,-14.46394,-3.284211,82.1771,0.42488,10.59229,27.05478,-12.18474,6.16949,11.6428,-7.1509,-130.14594,-7.88129,1.5606,50.0,5.93108
,,Four-Seam,NEB,4865,1,,,,"Freeman, Preston",1000220671,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,89.38486,,,5.63355,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,2.372365,-10.62772,4.263007,18.34253,2,Undefined,,Team,TeamExclusive,2025-09-03T17:01:26.9458432-05:00,,,,0,0,1,BallCalled,,,,High,High,33,High,54.86785,-132.33944,13.26424,6.15782,-7.83097,-6.84275,1.79215,-9.7433,5.71501,8a54fbc0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,6,1.63749,1.30253,2edd030f-0769-413d-9371-7c86fcffdcb3,Undefined,,,,,6.16052,-1.79673,90.80617,0,7.4852,148.375464,2423.171356,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,11:00,17:01:26.94,,Bottom,2025-09-03,2025-09-03T22:01:26.9458432Z,22:01:26.94,-6.418558,-15.98465,-3.406504,83.32097,0.421687,11.43002,26.52848,-13.6855,6.50914,10.52882,-9.32131,-131.36002,-8.33624,1.44022,50.0,5.85938
55.691109,,Sinker,NEB,4865,2,,,,"Freeman, Preston",1000220671,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,0.51181,3.55527,1.12874,2025-09-03,-119.866903,,90.10166,,72.25549,5.66498,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,Undefined,High,35.108452,5140.577231,0.51182,-29.74715,-5.28432,2.40856,0.33565,-2.5697,3.46686,-2.11388,0.47665,3.55527,87.53595,-28.44501,3.50392,-0.49581,-0.34323,0.50956,-0.26559,0.04206,1.12874,-51.79912,10.41706,-2.32663,-0.00789,1.15425,-1.52914,0.89638,-0.18937,NEB,4865,-0.497531,-13.84485,1.975852,15.09182,2,Undefined,44.48855,Team,TeamExclusive,2025-09-03T17:01:43.5044864-05:00,58.18763,,,0,0,1,FoulBallNotFieldable,,,,High,High,34,High,54.83641,-133.55057,14.01879,6.13811,-2.35014,-8.73102,1.79969,-4.44528,6.7359,94329e40-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,7,3.62627,-1.11575,d7cfefb5-a49f-4fa5-b9f6-3dbb371b26be,Undefined,,,,,6.13948,-1.80521,91.29238,0,7.83716,135.375861,2504.667849,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:30,17:01:43.50,,Bottom,2025-09-03,2025-09-03T22:01:43.5044864Z,22:01:43.50,-4.538728,-18.69135,-1.024061,83.45522,0.418332,13.47181,28.03758,-17.46203,7.56626,8.2628,-3.95554,-132.53132,-2.98494,1.64699,50.0,6.04114
32.205672,FlyBall,Sinker,NEB,4865,2,,,,"Freeman, Preston",1000220671,Left,NEB,-20.438943,,,,"Peterson, Elliott",830325,NEB,,,,Right,0.94362,2.54349,0.0451,2025-09-03,-13.218845,275.02294,89.57793,,83.35574,5.66377,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,4.696104,Medium,High,156.237721,4216.929935,0.94721,100.62578,-20.26673,4.10933,-0.50461,-0.02103,0.01492,-0.00118,-1e-05,2.54184,65.18814,-17.22416,1.00066,-0.12092,-0.01473,0.01779,-0.00378,0.00025,0.04496,-23.65153,-0.60304,1.00935,-0.38014,0.10494,-0.02095,0.00237,-0.00011,NEB,4865,0.131708,-20.29025,3.750063,16.15867,2,Undefined,268.04317,Team,TeamExclusive,2025-09-03T17:02:06.2841856-05:00,70.8627,,,0,0,1,InPlay,,,,High,High,35,High,54.83866,-133.04711,14.50577,6.02354,-5.08372,-8.01792,1.86289,-8.48756,10.02936,a1c50b60-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,8,2.46315,-0.05952,5a1ea5e4-d8fe-47e6-8a74-aad4349b63e9,Out,,105.68787,60.26753,-30.49662,6.02526,-1.87063,91.12526,0,8.19467,126.49272,2414.285496,UNebraska,1,v3,Popup,Fastball,,,,,,,,,,,,,,10:15,17:02:06.28,,Bottom,2025-09-03,2025-09-03T22:02:06.2841856Z,22:02:06.28,-5.605417,-18.02068,-2.203692,82.93059,0.420778,20.05871,29.01154,-16.03583,11.41091,9.18063,-7.75515,-131.9878,-5.66924,1.56635,50.0,5.82723
,,Four-Seam,NEB,4865,0,,,,"Fikes, Trey",10277361,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,88.62835,,,5.60047,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.293118,-17.1334,2.762232,17.51745,2,Undefined,,Team,TeamExclusive,2025-09-03T17:02:45.4607872-05:00,,,,0,0,2,BallCalled,,,,High,High,36,High,54.89974,-131.87775,14.40944,6.24271,-4.66566,-7.63781,1.76552,-6.14374,8.13017,b91e85c0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,1,2.87609,-0.62023,e796149e-8c03-432d-a24b-380b820adaa5,Undefined,,,,,6.24523,-1.7733,90.26355,0,8.21657,133.631189,2376.64208,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:30,17:02:45.46,,Bottom,2025-09-03,2025-09-03T22:02:45.4607872Z,22:02:45.46,-5.346152,-17.39824,-2.052487,82.04699,0.425286,16.26034,28.81887,-15.27562,9.43048,9.80052,-5.53714,-130.80264,-5.23553,1.54764,50.0,6.05803
,,Four-Seam,NEB,4865,1,,,,"Fikes, Trey",10277361,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,89.74852,,,5.64048,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.932678,-18.08714,2.296491,16.0906,2,Undefined,,Team,TeamExclusive,2025-09-03T17:03:22.8834304-05:00,,,,0,0,2,StrikeSwinging,,,,High,High,37,High,54.8601,-133.36859,14.57959,6.19283,-2.4905,-8.32143,1.87612,-5.11635,8.63652,cf75f970-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,2,3.67846,-1.24786,91191e75-fd1b-4289-82c8-35a67d2f0899,Undefined,,,,,6.19476,-1.88418,91.20107,0,8.2298,129.604304,2437.92516,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,17:03:22.88,,Bottom,2025-09-03,2025-09-03T22:03:22.8834304Z,22:03:22.88,-4.485866,-17.95891,-1.092044,82.97127,0.419978,17.27305,29.15919,-16.64286,9.78001,8.79374,-4.48437,-132.30172,-3.09942,1.70049,50.0,6.09057
,,Four-Seam,NEB,4865,1,,,,"Fikes, Trey",10277361,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,89.56073,,,5.62014,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,1.045552,-17.9545,4.2416,16.44501,2,Undefined,,Team,TeamExclusive,2025-09-03T17:03:43.2834560-05:00,,,,0,0,2,BallCalled,,,,High,High,38,High,54.88201,-132.78133,13.66892,6.17049,-7.22422,-7.70381,1.71253,-9.63878,9.02504,db97bf90-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,3,1.76448,0.74975,0599125c-d13b-47b3-856e-b7ab99788c26,Undefined,,,,,6.17245,-1.71986,91.06677,0,7.71718,130.51004,2377.10462,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,17:03:43.28,,Bottom,2025-09-03,2025-09-03T22:03:43.2834560Z,22:03:43.28,-6.460024,-17.74745,-3.126742,83.34959,0.420859,18.05008,27.33785,-15.40762,10.23989,9.51166,-8.9726,-131.77236,-7.79287,1.36908,50.0,5.89337
,,Four-Seam,NEB,4865,2,,,,"Fikes, Trey",10277361,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,87.93072,,,5.59092,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.160947,-15.04721,2.522474,18.7191,2,Undefined,,Team,TeamExclusive,2025-09-03T17:04:43.3559040-05:00,,,,0,0,2,StrikeCalled,,,,High,High,39,High,54.90951,-130.62268,13.621,6.18084,-6.52702,-7.06419,1.8901,-5.56952,7.03811,ff68c130-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539,Undefined,NEB,Left,4,2.08397,-0.79376,2380c92d-0498-4cbf-9224-f871ff80d840,Undefined,,,,,6.18378,-1.89678,89.43843,0,7.76354,139.391909,2401.476024,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,10:45,17:04:43.35,,Bottom,2025-09-03,2025-09-03T22:04:43.3559040Z,22:04:43.35,-6.056569,-16.7528,-2.890218,81.6749,0.428661,14.07622,27.24201,-14.12838,8.28221,10.61776,-5.03837,-129.59473,-7.06014,1.68996,50.0,5.92449
